2021-12-10 22:20:13.037 MSK [INFO    ] blockchain Start
2021-12-10 22:20:13.037 MSK [DEBUG   ] blockchain Start thread 1, round 0
2021-12-10 22:20:13.038 MSK [DEBUG   ] blockchain Start thread 2, round 0
2021-12-10 22:20:13.038 MSK [DEBUG   ] blockchain Start thread 3, round 0
2021-12-10 22:20:13.038 MSK [DEBUG   ] blockchain Start thread 4, round 0
2021-12-10 22:21:00.147 MSK [DEBUG   ] blockchain Stop thread 4, round 0
2021-12-10 22:21:00.147 MSK [DEBUG   ] blockchain Start thread 1, round 1
2021-12-10 22:21:00.321 MSK [DEBUG   ] blockchain Stop thread 3, round 0
2021-12-10 22:21:00.321 MSK [DEBUG   ] blockchain Start thread 2, round 1
2021-12-10 22:21:00.343 MSK [DEBUG   ] blockchain Stop thread 2, round 0
2021-12-10 22:21:00.343 MSK [DEBUG   ] blockchain Start thread 3, round 1
2021-12-10 22:21:00.499 MSK [DEBUG   ] blockchain Stop thread 1, round 0
2021-12-10 22:21:00.499 MSK [INFO    ] blockchain Round 0 end, Hash rate 2106.962 kH/s
2021-12-10 22:21:00.499 MSK [DEBUG   ] blockchain Start thread 4, round 1
2021-12-10 22:21:47.369 MSK [DEBUG   ] blockchain Stop thread 4, round 1
2021-12-10 22:21:47.369 MSK [DEBUG   ] blockchain Start thread 1, round 2
2021-12-10 22:21:47.455 MSK [DEBUG   ] blockchain Stop thread 3, round 1
2021-12-10 22:21:47.455 MSK [DEBUG   ] blockchain Start thread 2, round 2
2021-12-10 22:21:47.530 MSK [DEBUG   ] blockchain Stop thread 2, round 1
2021-12-10 22:21:47.530 MSK [DEBUG   ] blockchain Start thread 3, round 2
2021-12-10 22:21:47.688 MSK [DEBUG   ] blockchain Stop thread 1, round 1
2021-12-10 22:21:47.689 MSK [INFO    ] blockchain Round 1 end, Hash rate 2103.407 kH/s
2021-12-10 22:21:47.689 MSK [DEBUG   ] blockchain Start thread 4, round 2
2021-12-10 22:22:34.498 MSK [DEBUG   ] blockchain Stop thread 4, round 2
2021-12-10 22:22:34.499 MSK [DEBUG   ] blockchain Start thread 1, round 3
2021-12-10 22:22:34.719 MSK [DEBUG   ] blockchain Stop thread 3, round 2
2021-12-10 22:22:34.719 MSK [DEBUG   ] blockchain Start thread 2, round 3
2021-12-10 22:22:34.844 MSK [DEBUG   ] blockchain Stop thread 2, round 2
2021-12-10 22:22:34.844 MSK [DEBUG   ] blockchain Start thread 3, round 3
2021-12-10 22:22:35.093 MSK [DEBUG   ] blockchain Stop thread 1, round 2
2021-12-10 22:22:35.093 MSK [INFO    ] blockchain Round 2 end, Hash rate 2095.387 kH/s
2021-12-10 22:22:35.093 MSK [DEBUG   ] blockchain Start thread 4, round 3
2021-12-10 22:23:21.709 MSK [DEBUG   ] blockchain Stop thread 4, round 3
2021-12-10 22:23:21.709 MSK [DEBUG   ] blockchain Start thread 1, round 4
2021-12-10 22:23:21.750 MSK [DEBUG   ] blockchain Stop thread 3, round 3
2021-12-10 22:23:21.750 MSK [DEBUG   ] blockchain Start thread 2, round 4
2021-12-10 22:23:21.884 MSK [DEBUG   ] blockchain Stop thread 2, round 3
2021-12-10 22:23:21.884 MSK [DEBUG   ] blockchain Start thread 3, round 4
2021-12-10 22:23:22.412 MSK [DEBUG   ] blockchain Stop thread 1, round 3
